Data Lanc.;Descrição;Valor;Saldo
2023-03-13;LIQ TOTAL DEP PRAZO  3171003721;"39,75";"121,08"
2023-03-21;VIS PAGAMENTO CARTAO DE CREDITO;"-86,41";"34,67"
2023-03-22;VIS PAGAMENTO CARTAO CREDITO;-30;"4,67"
2023-03-30;TRANSFERENCIA CARTAO CREDITO 4610185;350;"354,67"
2023-03-31;PAG SERV 20117/330979466 INSTITUTO CONSTRUCAO I;-298;"56,67"
2023-04-21;VIS PAGAMENTO CARTAO DE CREDITO;"-10,16";"46,51"
2023-04-21;TRF. P/O ANDREA LEVINDO CARVALHO;340;"386,51"
2023-04-21;VIS PAGAMENTO CARTAO CREDITO;-340;"46,51"
2023-05-16;TRF. P/O  ANDREA LEVINDO CARVALHO;"15 000,00";"15 046,51"
2023-05-23;VIS PAGAMENTO CARTAO DE CREDITO;"-1 509,24";"13 537,27"
2023-05-25;VIS PAGAMENTO CARTAO CREDITO;"-225,12";"13 312,15"
2023-05-29;COMPRA 8843 INTER CONDEIXA 3150-110 C A NOVA;"-51,8";"13 260,35"
2023-06-13;COMPRA 8843 JEAN LOUIS DAVID COIMBR CONTACTLESS;"-79,55";"13 180,80"
2023-06-13;COMPRA 8843 CONTINENTE COIMBRA COIM CONTACTLESS;"-323,95";"12 856,85"
2023-06-13;COMPRA 8843 BAGGA 3030-193 COIMBRA  CONTACTLESS;"-3,9";"12 852,95"
2023-06-14;COMPRA 8843 CANTINHO DOCE EGA       CONTACTLESS;"-18,9";"12 834,05"
2023-06-14;COMPRA 8843 MINI PRECO VASCO VALVEN CONTACTLESS;"-4,01";"12 830,04"
2023-06-14;COMPRA 8843 MINI PRECO VASCO VALVEN CONTACTLESS;"-1,76";"12 828,28"
2023-06-15;COMPRA 8843 Q SABOR HAMB 3150-230 C CONTACTLESS;"-19,35";"12 808,93"
2023-06-15;COMPRA 8843 CANTINHO DOCE EGA       CONTACTLESS;"-18,4";"12 790,53"
2023-06-15;COMPRA 8843 ZARA QUINTA DO VALE GEM CONTACTLESS;"-40,1";"12 750,43"
2023-06-15;COMPRA 8843 H3 FORUM COIMBRA COIMBR CONTACTLESS;"-2,9";"12 747,53"
2023-06-16;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-19,29";"12 728,24"
2023-06-16;COMPRA 8843 Restaurante Tinella Con CONTACTLESS;"-41,75";"12 686,49"
2023-06-19;COMPRA 8843 RESTAURANTE ITALIA 3000-150 COIMBRA;"-64,4";"12 622,09"
2023-06-19;COMPRA 8843 REST TENNESSEE 3150-230 COND-A-VELH;"-6,9";"12 615,19"
2023-06-19;COMPRA 8843 PISCINAS MUNICIPAIS CON CONTACTLESS;"-64,5";"12 550,69"
2023-06-19;COMPRA 8843 RESTAURANTE PRAZERESCOIMBRA;"-51,25";"12 499,44"
2023-06-20;COMPRA 8843 HM Coimbra Coimbra PT   CONTACTLESS;"-47,05";"12 452,39"
2023-06-28;COMPRA 8843 MDTEC 3150-134 CONDEIXA;-69;"12 383,39"
2023-06-29;COMPRA 8843 MINI PRECO VASCO VALVEN CONTACTLESS;"-5,86";"12 377,53"
2023-06-30;COMPRA 8843 CANTINHO DOCE EGA       CONTACTLESS;"-15,5";"12 362,03"
2023-07-03;COMPRA 8843 HELIO FILIPE CONDEIXA A NOVA;"-14,7";"12 347,33"
2023-07-03;COMPRA 8843 MINI PRECO VASCO VALVEN CONTACTLESS;"-11,78";"12 335,55"
2023-07-03;COMPRA 8843 MILANO PRC AVEIRO       CONTACTLESS;"-3,2";"12 332,35"
2023-07-04;LEV ATM 8843 BESCL Condeixa-A-No Av. Visconde d;-10;"12 322,35"
2023-07-05;Transferencia TransferWise:T734514043;"-1 747,45";"10 574,90"
2023-07-05;COMPRA 8843 CARTORIO NOTARIAL PAPOMBAL;"-41,17";"10 533,73"
2023-07-05;COMPRA 8843 CTT - CORREIOS CONDEIXA;"-3,3";"10 530,43"
2023-07-06;COMPRA 8843 CONTINENTE BOM DIA COND CONTACTLESS;"-41,44";"10 488,99"
2023-07-07;"COMPRA 8843 O SALATINA, UNIPESSOCOI CONTACTLESS";"-33,4";"10 455,59"
