"id","data","banco","descricao","valor","saldo","tipo"
1,"2023-10-31","totta","Transferência para Nr. Xxxxx8296",-3.00,83.00,"Transferência"
2,"2023-10-31","totta","Quintalao Livraria",-12.00,86.00,"diversos"
3,"2023-10-31","totta","Carregamento Vodafone Sa",-16.00,97.00,"fixas"
4,"2023-10-31","totta","Pagamento Eupago.com",-50.00,113.00,"NULL"
5,"2023-10-31","totta","Subscrição Ppr Cap. Garantido",-25.00,163.00,"NULL"
6,"2023-10-31","totta","Aegon Santander",-37.00,188.00,"seguro"
7,"2023-10-31","totta","Petrogal",-13.00,225.00,"fixas"
8,"2023-10-30","totta","Paypal Microsoft",-7.00,238.00,"Microsoft"
9,"2023-10-30","totta","Primark Coimbra",-30.00,245.00,"vestuario"
10,"2023-10-30","totta","Transferência para Maria Das Gracas Dos",-14.00,275.00,"Transferência"
11,"2023-10-30","totta","Meu Super Condeixa",-9.00,289.00,"mercado"
12,"2023-10-30","totta","Levantamento Condeixa-a-nova",-10.00,298.00,"NULL"
13,"2023-10-27","totta","Pago.Fact R Atsire01r/6",38.00,308.00,"NULL"
14,"2023-10-27","totta","Pago.Fact R Atsire01r/5",38.00,270.00,"NULL"
15,"2023-10-27","totta","Atitude",-36.00,233.00,"NULL"
16,"2023-10-27","totta","Mini Preco Vasco Val",-6.00,269.00,"mercado"
17,"2023-10-27","totta","Levantamento Condeixa-a-nova",-20.00,275.00,"NULL"
18,"2023-10-27","totta","Cantinho Doce",-4.00,295.00,"restaurante"
19,"2023-10-31","totta","Transferência para Nr. Xxxxx8296",-3.00,83.00,"Transferência"
20,"2023-10-31","totta","Quintalao Livraria",-12.00,86.00,"diversos"
21,"2023-10-31","totta","Carregamento Vodafone Sa",-16.00,97.00,"fixas"
22,"2023-10-31","totta","Pagamento Eupago.com",-50.00,113.00,"NULL"
23,"2023-10-31","totta","Subscrição Ppr Cap. Garantido",-25.00,163.00,"NULL"
24,"2023-10-31","totta","Aegon Santander",-37.00,188.00,"seguro"
25,"2023-10-31","totta","Petrogal",-13.00,225.00,"fixas"
26,"2023-10-30","totta","Paypal Microsoft",-7.00,238.00,"Microsoft"
27,"2023-10-30","totta","Primark Coimbra",-30.00,245.00,"vestuario"
28,"2023-10-30","totta","Transferência para Maria Das Gracas Dos",-14.00,275.00,"Transferência"
29,"2023-10-30","totta","Meu Super Condeixa",-9.00,289.00,"mercado"
30,"2023-10-30","totta","Levantamento Condeixa-a-nova",-10.00,298.00,"NULL"
31,"2023-10-27","totta","Pago.Fact R Atsire01r/6",38.00,308.00,"NULL"
32,"2023-10-27","totta","Pago.Fact R Atsire01r/5",38.00,270.00,"NULL"
33,"2023-10-27","totta","Atitude",-36.00,233.00,"NULL"
34,"2023-10-27","totta","Mini Preco Vasco Val",-6.00,269.00,"mercado"
35,"2023-10-27","totta","Levantamento Condeixa-a-nova",-20.00,275.00,"NULL"
36,"2023-10-27","totta","Cantinho Doce",-4.00,295.00,"restaurante"
37,"2023-10-26","totta","Transferência para Nr. Xxxxx5575",-120.00,299.00,"Transferência"
38,"2023-10-26","totta","Transferência para Igreja Baptista De C",-50.00,419.00,"Transferência"
39,"2023-10-26","totta","Quintalao Livraria",-6.00,469.00,"diversos"
40,"2023-10-26","totta","Nails 4 Us",-29.00,476.00,"beleza"
41,"2023-10-26","totta","Trf.Créd.N.Sepa+recebida 0018375169600113092",321.00,505.00,"NULL"
42,"2023-10-26","totta","Primark Coimbra",-76.00,184.00,"vestuario"
43,"2023-10-25","totta","Transferência para Nr. XXXXX5869",-26.00,260.00,"Transferência"
44,"2023-10-25","totta","Continente Bom Dia",-7.00,285.00,"mercado"
45,"2023-10-25","totta","Levantamento Condeixa-a-nova",-10.00,292.00,"NULL"
46,"2023-10-25","totta","Paypal Spotify",-8.00,302.00,"lazer"
47,"2023-10-25","totta","Aegon Santander",-27.00,310.00,"seguro"
48,"2023-10-24","totta","Transferência para Nr. XXXXX7035",-630.00,337.00,"Transferência"
49,"2023-10-24","totta","Transferência para Andrea",-7.00,967.00,"Transferência"
50,"2023-10-24","totta","Mania Poke Bowls",-24.00,974.00,"restaurante"
51,"2023-10-24","totta","Continente",-78.00,998.00,"mercado"
52,"2023-10-24","totta","Celeiro Forum Coimbr",-22.00,1076.00,"NULL"
53,"2023-10-24","totta","Transferência para Nr. XXXXX7805",-10.00,1098.00,"Transferência"
54,"2023-10-23","totta","Transferência para Nr. XXXXX8578",-80.00,1108.00,"Transferência"
55,"2023-10-23","totta","Pagamento de serviços",-175.00,1188.00,"NULL"
56,"2023-10-23","totta","Pagamento de serviços",-175.00,1363.00,"NULL"
57,"2023-10-23","totta","Via Verde",-17.00,1538.00,"NULL"
58,"2023-10-23","totta","Primark Coimbra",-32.00,1554.00,"vestuario"
59,"2023-10-23","totta","Paypal Disneyplus",-9.00,1587.00,"lazer"
60,"2023-10-23","totta","Adhoc Gym",-20.00,1596.00,"NULL"
61,"2023-10-23","totta","Adhoc Gym",-20.00,1616.00,"NULL"
62,"2023-10-23","totta","Transferência para Nr. XXXXX6995",-12.00,1635.00,"Transferência"
63,"2023-10-20","totta","Pagamento Eupago.com",-608.00,1648.00,"NULL"
64,"2023-10-20","totta","Inter Condeixa",-40.00,2256.00,"mercado"
65,"2023-10-20","totta","Celeiro Forum Coimbr",-10.00,2296.00,"NULL"
66,"2023-10-20","totta","Credito D.O.(liq.)",2000.00,2306.00,"NULL"
67,"2023-10-20","totta","Mini Preco Vasco Val",-13.00,306.00,"mercado"
68,"2023-10-19","totta","Levantamento Condeixa-a-nova",-10.00,320.00,"NULL"
69,"2023-10-19","totta","Imp.Selo-Marcley da Costa Car-E3497497",0.00,330.00,"NULL"
70,"2023-10-19","totta","Comissão-Marcley da Costa Car-E3497497",-2.00,330.00,"NULL"
71,"2023-10-19","totta","Transferência para Marcley Da Costa Car",-150.00,332.00,"Transferência"
72,"2023-10-18","totta","Nutricao A Granel",-16.00,482.00,"mercado"
73,"2023-10-18","totta","Carregamento Vodafone Sa",-12.00,497.00,"fixas"
74,"2023-10-17","totta","Transferência para Marcley",-5.00,509.00,"Transferência"
75,"2023-10-17","totta","Transferência de Nilo Antonio Rocha",100.00,514.00,"Transferência"
76,"2023-10-17","totta","Farmacia Rocha",-92.00,414.00,"NULL"
77,"2023-10-17","totta","Transferência para Nr. XXXXX7805",-10.00,507.00,"Transferência"
78,"2023-10-16","totta","Transferência para Igreja Baptista De Coimbra",-215.00,517.00,"Transferência"
79,"2023-10-16","totta","Transferência para Marcley",-5.00,732.00,"Transferência"
80,"2023-10-16","totta","Cantinho Doce",-5.00,737.00,"restaurante"
81,"2023-10-16","totta","Continente Bom Dia",-64.00,742.00,"mercado"
82,"2023-10-16","totta","Transferência para Nr. XXXXX2872",-70.00,806.00,"Transferência"
83,"2023-10-16","totta","Via Verde",-28.00,876.00,"NULL"
84,"2023-10-16","totta","Paypal Steam Games",-12.00,903.00,"lazer"
85,"2023-10-16","totta","Paypal Google Google",-2.00,915.00,"NULL"
86,"2023-10-16","totta","Domino S Pizza Coimb",-14.00,917.00,"restaurante"
87,"2023-10-16","totta","Imposto do Selo sobre comissão",0.00,931.00,"NULL"
88,"2023-10-16","totta","Comissão de manutenção de conta pacote",-6.00,932.00,"NULL"
89,"2023-10-13","totta","Levantamento Coimbra",-10.00,937.00,"NULL"
90,"2023-10-13","totta","Ctt - Correios",-7.00,947.00,"alc"
91,"2023-10-13","totta","Restaurante .come",-20.00,954.00,"restaurante"
92,"2023-10-13","totta","Transferência para Marcley",-5.00,974.00,"Transferência"
93,"2023-10-13","totta","Restaurante Tinella",-24.00,979.00,"restaurante"
94,"2023-10-12","totta","Trf.Imed.   de Marli Neves Panao-R3342409",240.00,1003.00,"NULL"
95,"2023-10-12","totta","Cont Bom Dia Coimbra",-1.00,763.00,"mercado"
96,"2023-10-11","totta","Transferência para Nr. XXXXX7805",-40.00,764.00,"Transferência"
97,"2023-10-11","totta","Petrogal",-104.00,804.00,"fixas"
98,"2023-10-11","totta","Carregamento Vodafone",-16.00,909.00,"fixas"
99,"2023-10-10","totta","Trf.Imed.   de Fonseca Abreu Jorge Antoni-R3323134",400.00,925.00,"NULL"
100,"2023-10-10","totta","Transferência recebida",12.00,525.00,"Transferência"
101,"2023-10-10","totta","Mini Preco Vasco Val",-11.00,513.00,"mercado"
102,"2023-10-10","totta","Mania Poke Bowls",-25.00,523.00,"restaurante"
103,"2023-10-10","totta","Zara",-26.00,548.00,"NULL"
104,"2023-10-10","totta","Transferência para Andrea",-5.00,574.00,"Transferência"
105,"2023-10-09","totta","Pagamento de serviços",-67.00,579.00,"NULL"
106,"2023-10-09","totta","Mini Preco Vasco Val",-8.00,646.00,"mercado"
